Tanggal,Brand,Model,Segment_Fuel,Aktual
2015-01-01,Alfa Romeo,4C,Bensin (ICE),0
2015-01-01,Audi,A4 1.8 AT,Bensin (ICE),10
2015-01-01,Audi,A4 2.0 TFSI,Bensin (ICE),0
2015-01-01,Audi,A5 2.0 TFSI,Bensin (ICE),0
2015-01-01,Audi,A6 1.8 TFSI A/T,Bensin (ICE),0
2015-01-01,Audi,A6 2.0TFSI AT,Bensin (ICE),5
2015-01-01,Audi,A6 2.8 FSI AT,Bensin (ICE),0
2015-01-01,Audi,A6 3.0 Quattro AT,Bensin (ICE),1
2015-01-01,Audi,A7 3.0 AT,Bensin (ICE),0
2015-01-01,Audi,A8L 3.0 AT,Bensin (ICE),0
2015-01-01,Audi,Q3 1.4 TFSI A/T,Bensin (ICE),2
2015-01-01,Audi,Q3 2.0 TFSI,Bensin (ICE),1
2015-01-01,Audi,Q5 2.0 TFSI AT,Bensin (ICE),0
2015-01-01,Audi,Q7 3.0 TFSI AT,Bensin (ICE),0
2015-01-01,Audi,R8 V10,Bensin (ICE),0
2015-01-01,Audi,RS4 4.2 AT,Bensin (ICE),0
2015-01-01,Audi,RS5 4.2 AT,Bensin (ICE),0
2015-01-01,Audi,S3 2.0 TFSI A/T,Bensin (ICE),0
2015-01-01,Audi,TT 2.0 TFSI A/T,Bensin (ICE),0
2015-01-01,Audi,TTS 2.0,Bensin (ICE),0
2015-01-01,BMW,116i,Bensin (ICE),0
2015-01-01,BMW,118i,Bensin (ICE),0
2015-01-01,BMW,218 Grand tourer,Bensin (ICE),0
2015-01-01,BMW,218i Active turer,Bensin (ICE),0
2015-01-01,BMW,300 C,Bensin (ICE),0
2015-01-01,BMW,300 SRT,Bensin (ICE),0
2015-01-01,BMW,320d,Bensin (ICE),5
2015-01-01,BMW,320i Business,Diesel,116
2015-01-01,BMW,320i Gran Turismo,Bensin (ICE),0
2015-01-01,BMW,328i,Bensin (ICE),16
2015-01-01,BMW,330i,Bensin (ICE),0
2015-01-01,BMW,335i,Bensin (ICE),0
2015-01-01,BMW,340i,Bensin (ICE),0
2015-01-01,BMW,418d coupe,Bensin (ICE),0
2015-01-01,BMW,428i Convertible,Bensin (ICE),0
2015-01-01,BMW,428i Grancoupe,Bensin (ICE),0
2015-01-01,BMW,435i Coupe,Bensin (ICE),1
2015-01-01,BMW,520 D,Bensin (ICE),3
2015-01-01,BMW,520i,Bensin (ICE),20
2015-01-01,BMW,528i - F10,Bensin (ICE),9
2015-01-01,BMW,535i - F10,Bensin (ICE),0
2015-01-01,BMW,535i - Gran Turismo,Bensin (ICE),0
2015-01-01,BMW,640i Coupe,Bensin (ICE),1
2015-01-01,BMW,640i Gran Coupe,Bensin (ICE),1
2015-01-01,BMW,650i Gran Coupe,Bensin (ICE),0
2015-01-01,BMW,730 Li Bussiness,Diesel,0
2015-01-01,BMW,740 Li,Bensin (ICE),0
2015-01-01,BMW,760Li,Bensin (ICE),0
2015-01-01,BMW,M135i Coupe,Bensin (ICE),0
2015-01-01,BMW,M235i,Bensin (ICE),1
2015-01-01,BMW,M3 Coupe,Bensin (ICE),0
2015-01-01,BMW,M4 Coupe,Bensin (ICE),2
2015-01-01,BMW,M5,Bensin (ICE),0
2015-01-01,BMW,M6 Coupe,Bensin (ICE),0
2015-01-01,BMW,M6 Grand Coupe,Bensin (ICE),0
2015-01-01,BMW,X1 sDrive 1.8i,Bensin (ICE),3
2015-01-01,BMW,X1 sDrive 2.0 D,Bensin (ICE),0
2015-01-01,BMW,X3 xDrive 2.0 D,Bensin (ICE),0
2015-01-01,BMW,X3 xDrive 2.0i,Bensin (ICE),0
2015-01-01,BMW,X3 xDrive 3.5i,Bensin (ICE),0
2015-01-01,BMW,X4 Xdrive 28i,Bensin (ICE),0
2015-01-01,BMW,X5 M,Bensin (ICE),0
2015-01-01,BMW,X5 xDrive 3.0 D,Bensin (ICE),0
2015-01-01,BMW,X5 xDrive25d,Bensin (ICE),0
2015-01-01,BMW,X5 xDrive35i M Sport,Bensin (ICE),2
2015-01-01,BMW,X5 xDrive35i NEW,Bensin (ICE),0
2015-01-01,BMW,X5 xDrive50i,Bensin (ICE),0
2015-01-01,BMW,X6 M,Bensin (ICE),0
2015-01-01,BMW,X6 xDrive35i,Bensin (ICE),0
2015-01-01,BMW,Z4 sDrive 2.3i,Bensin (ICE),0
2015-01-01,Brand,MODEL/TYPE,Bensin (ICE),0
2015-01-01,Chevrolet,Aveo LS,Bensin (ICE),0
2015-01-01,Chevrolet,Aveo LT,Bensin (ICE),1
2015-01-01,Chevrolet,Aveo LT AT,Bensin (ICE),3
2015-01-01,Chevrolet,Captiva 2.0 Dsl,Bensin (ICE),123
2015-01-01,Chevrolet,Captiva 2.0 Dsl  AWD,Bensin (ICE),2
2015-01-01,Chevrolet,Captiva 2.4 AT,Bensin (ICE),8
2015-01-01,Chevrolet,Lova 1.4 MT,Bensin (ICE),0
2015-01-01,Chevrolet,Orlando 1.8L,Bensin (ICE),0
2015-01-01,Chevrolet,Spin 1.3 LS,Bensin (ICE),97
2015-01-01,Chevrolet,Spin 1.3 LT,Bensin (ICE),0
2015-01-01,Chevrolet,Spin 1.3 LTZ,Bensin (ICE),119
2015-01-01,Chevrolet,Spin 1.5 LS MT,Bensin (ICE),0
2015-01-01,Chevrolet,Spin 1.5 LT MT,Bensin (ICE),0
2015-01-01,Chevrolet,Spin 1.5 LTZ AT,Bensin (ICE),97
2015-01-01,Chevrolet,Spin 1.5 LTZ MT,Bensin (ICE),94
2015-01-01,Chevrolet,Spin Activ 1.5 AT,Bensin (ICE),117
2015-01-01,Chevrolet,Trailblazer 2.8 AWD,Bensin (ICE),1
2015-01-01,Chevrolet,Trax 1.4 LTZ,Bensin (ICE),0
2015-01-01,Chrysler,Sebring,Bensin (ICE),0
2015-01-01,Daihatsu,All New Sirion 1.3,Bensin (ICE),80
2015-01-01,Daihatsu,All New Sirion 1.3 AT,Bensin (ICE),113
2015-01-01,Daihatsu,All New Xenia 1.0 D,Bensin (ICE),403
2015-01-01,Daihatsu,All New Xenia 1.0 M,Bensin (ICE),204
2015-01-01,Daihatsu,All New Xenia 1.3 R,Bensin (ICE),1270
2015-01-01,Daihatsu,All New Xenia 1.3 R AT,Bensin (ICE),152
2015-01-01,Daihatsu,All New Xenia 1.3 X,Bensin (ICE),1174
2015-01-01,Daihatsu,Ayla 1.0 D,Bensin (ICE),20
2015-01-01,Daihatsu,Ayla 1.0 D+,Bensin (ICE),151
2015-01-01,Daihatsu,Ayla 1.0 M AT,Bensin (ICE),202
2015-01-01,Daihatsu,Ayla 1.0 M MT,Bensin (ICE),433
2015-01-01,Daihatsu,Ayla 1.0 X AT,Bensin (ICE),704
2015-01-01,Daihatsu,Ayla 1.0 X AT (Airbag GIIAS),Bensin (ICE),0
2015-01-01,Daihatsu,Ayla 1.0 X AT (Airbag),Bensin (ICE),0
2015-01-01,Daihatsu,Ayla 1.0 X MT,Bensin (ICE),1258
2015-01-01,Daihatsu,Ayla 1.0 X MT (Airbag GIIAS),Bensin (ICE),0
2015-01-01,Daihatsu,Ayla 1.0 X MT (Airbag),Bensin (ICE),0
2015-01-01,Daihatsu,Copen,Bensin (ICE),0
2015-01-01,Daihatsu,Gran Max BV,Bensin (ICE),631
2015-01-01,Daihatsu,Gran Max HI,Bensin (ICE),616
2015-01-01,Daihatsu,Gran Max HI FF,Bensin (ICE),160
2015-01-01,Daihatsu,Gran Max PU 3-Way,Bensin (ICE),808
2015-01-01,Daihatsu,Gran Max PU STD,Bensin (ICE),5342
2015-01-01,Daihatsu,Great New Xenia D,Bensin (ICE),0
2015-01-01,Daihatsu,Great New Xenia M,Bensin (ICE),0
2015-01-01,Daihatsu,Great New Xenia R AT,Bensin (ICE),0
2015-01-01,Daihatsu,Great New Xenia R MT,Bensin (ICE),0
2015-01-01,Daihatsu,Great New Xenia X AT,Bensin (ICE),0
